Ville,Latitude,Longitude,Date,Hour,Day_Time,Temp_Max,Temp_Min,Humidity,Weather,Rain_Probability,Weather_Score,Temp_Avg,Run_Date,Train,Hotel_1_Name,Hotel_1_Link,Hotel_1_Note,Hotel_2_Name,Hotel_2_Link,Hotel_2_Note,Hotel_3_Name,Hotel_3_Link,Hotel_3_Note,Hotel_4_Name,Hotel_4_Link,Hotel_4_Note,Hotel_5_Name,Hotel_5_Link,Hotel_5_Note
Paris,48.8534951,2.3483915,2026-02-13,0,Night,8.74,8.58,81,overcast clouds,0.0,200,8.66,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,3,Night,8.12,7.77,83,overcast clouds,0.0,200,7.944999999999999,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,6,Morning,7.92,7.92,83,overcast clouds,0.0,200,7.92,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,9,Morning,8.23,8.23,86,overcast clouds,0.0,200,8.23,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,12,Afternoon,9.11,9.11,77,light rain,0.54,-10,9.11,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,15,Afternoon,7.89,7.89,87,moderate rain,1.0,-20,7.89,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,18,Evening,7.78,7.78,89,moderate rain,1.0,-20,7.78,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-13,21,Evening,7.88,7.88,86,light rain,1.0,-10,7.88,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-14,0,Night,7.27,7.27,87,moderate rain,1.0,-20,7.27,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
Paris,48.8534951,2.3483915,2026-02-14,3,Night,4.67,4.67,79,light rain,1.0,-10,4.67,2026-02-12,https://www.sncf-connect.com/app/home/search/od?originLabel=Paris&originId=RESARAIL_STA_8768600&destinationLabel=Paris&destinationId=RESARAIL_STA_8774678&outwardDateTime=2025-01-15T08:30:00&directTrains=true,,,,,,,,,,,,,,,
