Ville,Latitude,Longitude,Date,Temp_Max,Temp_Min,Humidity,Weather,Rain_Probability,Weather_Score,Temp_Avg,Run_Date,Hour,Day_Time
Paris,48.8588897,2.3200410217200766,2024-12-04,6.94,6.94,82,overcast clouds,0.0,200,6.94,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,7.52,7.52,81,overcast clouds,0.0,200,7.52,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,6.74,6.74,75,overcast clouds,0.0,200,6.74,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,6.69,6.69,73,overcast clouds,0.0,200,6.69,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,6.58,6.58,77,light rain,0.25,-10,6.58,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,6.82,6.82,81,overcast clouds,0.0,200,6.82,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,6.94,6.94,79,overcast clouds,0.0,200,6.94,2024-11-30,,
Paris,48.8588897,2.3200410217200766,2024-12-04,6.34,6.34,83,overcast clouds,0.0,200,6.34,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,9.33,9.33,65,broken clouds,0.0,300,9.33,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,8.27,8.27,70,clear sky,0.0,600,8.27,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,7.73,7.73,72,scattered clouds,0.0,400,7.73,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,7.9,7.9,67,overcast clouds,0.0,200,7.9,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,10.36,10.36,53,overcast clouds,0.0,200,10.36,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,11.19,11.19,52,clear sky,0.0,600,11.19,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,10.6,10.6,53,clear sky,0.0,600,10.6,2024-11-30,,
Marseille,43.2961743,5.3699525,2024-12-04,9.74,9.74,57,clear sky,0.0,600,9.74,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,3.86,3.86,83,scattered clouds,0.0,400,3.86,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,3.25,3.25,85,overcast clouds,0.0,200,3.25,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,2.76,2.76,86,overcast clouds,0.0,200,2.76,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,4.51,4.51,80,overcast clouds,0.0,200,4.51,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,6.36,6.36,74,overcast clouds,0.0,200,6.36,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,6.46,6.46,73,broken clouds,0.0,300,6.46,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,4.41,4.41,83,scattered clouds,0.0,400,4.41,2024-11-30,,
Lyon,45.7578137,4.8320114,2024-12-04,3.85,3.85,86,scattered clouds,0.0,400,3.85,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,7.94,7.94,82,broken clouds,0.0,300,7.94,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,7.76,7.76,84,overcast clouds,0.0,200,7.76,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,8.08,8.08,85,light rain,0.66,-10,8.08,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,8.66,8.66,88,light rain,0.22,-10,8.66,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,11.18,11.18,79,light rain,0.27,-10,11.18,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,12.33,12.33,73,light rain,0.8,-10,12.33,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,10.25,10.25,83,broken clouds,0.25,300,10.25,2024-11-30,,
Toulouse,43.6044622,1.4442469,2024-12-04,9.53,9.53,90,light rain,0.2,-10,9.53,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,11.6,11.6,71,overcast clouds,0.0,200,11.6,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,11.56,11.56,68,broken clouds,0.0,300,11.56,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,11.14,11.14,62,light rain,0.2,-10,11.14,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,11.72,11.72,61,light rain,0.35,-10,11.72,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,12.92,12.92,65,light rain,0.35,-10,12.92,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,12.71,12.71,69,overcast clouds,0.0,200,12.71,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,11.49,11.49,74,broken clouds,0.0,300,11.49,2024-11-30,,
Nice,43.7009358,7.2683912,2024-12-04,10.8,10.8,66,clear sky,0.0,600,10.8,2024-11-30,,
Nantes,47.2186371,-1.5541362,2024-12-04,7.17,7.17,85,overcast clouds,0.0,200,7.17,2024-11-30,,
Nantes,47.2186371,-1.5541362,2024-12-04,8.24,8.24,86,overcast clouds,0.0,200,8.24,2024-11-30,,
Nantes,47.2186371,-1.5541362,2024-12-04,10.67,10.67,89,light rain,1.0,-10,10.67,2024-11-30,,
Nantes,47.2186371,-1.5541362,2024-12-04,7.33,7.33,85,overcast clouds,0.0,200,7.33,2024-11-30,,
